1937,Physics,George Paget Thomson,1892-05-03,Cambridge
1967,Chemistry,George Porter,12/6/1920,Stainforth
1934,Physiology or Medicine,George R. Minot,1885-12-02,"Boston, MA"
1967,Physiology or Medicine,George Wald,11/18/1906,"New York, NY"
1992,Physics,Georges Charpak,8/1/1924,Dabrovica
1984,Physiology or Medicine,Georges J.F. Köhler,4/17/1946,Munich
1958,Peace,Georges Pire,2/10/1910,Dinant
1972,Physiology or Medicine,Gerald M. Edelman,7/1/1929,"New York, NY"
1983,Economic Sciences,Gerard Debreu,7/4/1921,Calais
2018,Physics,Gérard Mourou,6/22/1944,Albertville
1999,Physics,Gerardus 't Hooft,7/5/1946,Den Helder
1986,Physics,Gerd Binnig,7/20/1947,Frankfurt-on-the-Main
1939,Physiology or Medicine,Gerhard Domagk,1895-10-30,Lagow
2007,Chemistry,Gerhard Ertl,10/10/1936,Bad Cannstatt
1971,Chemistry,Gerhard Herzberg,12/25/1904,Hamburg
1912,Literature,Gerhart Hauptmann,1862-11-15,Bad Salzbrunn
1988,Physiology or Medicine,Gertrude B. Elion,1/23/1918,"New York, NY"
1947,Physiology or Medicine,Gerty Cori,1896-08-15,Prague
1963,Literature,Giorgos Seferis,3/13/1900,Smyrna
1906,Literature,Giosuè Carducci,1835-07-27,Val di Castello
1963,Chemistry,Giulio Natta,2/26/1903,Imperia
1951,Chemistry,Glenn T. Seaborg,4/19/1912,"Ishpeming, MI"
1979,Physiology or Medicine,Godfrey N. Hounsfield,8/28/1919,Newark
2006,Peace,Grameen Bank,,
1926,Literature,Grazia Deledda,1871-09-27,"Nuoro, Sardinia"
2019,Physiology or Medicine,Gregg L. Semenza,7/12/1956,"New York, NY"
1909,Physics,Guglielmo Marconi,1874-04-25,Bologna
1974,Economic Sciences,Gunnar Myrdal,1898-12-06,Skattungbyn
1999,Physiology or Medicine,Günter Blobel,5/21/1936,Waltersdorf
1999,Literature,Günter Grass,10/16/1927,Danzig
1912,Physics,Gustaf Dalén,1869-11-30,Stenstorp
1925,Physics,Gustav Hertz,1887-07-22,Hamburg
1926,Peace,Gustav Stresemann,1878-05-10,Berlin
2004,Physics,H. David Politzer,8/31/1949,"New York, NY"
1968,Physiology or Medicine,H. Gobind Khorana,1/9/1922,Raipur
2002,Physiology or Medicine,H. Robert Horvitz,5/8/1947,"Chicago, IL"
1955,Literature,Halldór Laxness,4/23/1902,Reykjavik
1978,Physiology or Medicine,Hamilton O. Smith,8/23/1931,"New York, NY"
1970,Physics,Hannes Alfvén,5/30/1908,Norrköping
1967,Physics,Hans Bethe,7/2/1906,Strasbourg
1930,Chemistry,Hans Fischer,1881-07-27,Hoechst
1989,Physics,Hans G. Dehmelt,9/9/1922,Görlitz
1953,Physiology or Medicine,Hans Krebs,8/25/1900,Hildesheim
1935,Physiology or Medicine,Hans Spemann,1869-06-27,Stuttgart
1929,Chemistry,Hans von Euler-Chelpin,1873-02-15,Augsburg
2008,Physiology or Medicine,Harald zur Hausen,3/11/1936,Gelsenkirchen
1934,Chemistry,Harold C. Urey,1893-04-29,"Walkerton, IN"
1989,Physiology or Medicine,Harold E. Varmus,12/18/1939,"Oceanside, NY"
2005,Literature,Harold Pinter,10/10/1930,London
1990,Economic Sciences,Harry M. Markowitz,8/24/1927,"Chicago, IL"
1974,Literature,Harry Martinson,5/6/1904,Jämshög
1988,Chemistry,Hartmut Michel,7/18/1948,Ludwigsburg
1913,Physics,Heike Kamerlingh Onnes,1853-09-21,Groningen
1972,Literature,Heinrich Böll,12/21/1917,Cologne
1986,Physics,Heinrich Rohrer,6/6/1933,Buchs
1927,Chemistry,Heinrich Wieland,1877-06-04,Pforzheim
1902,Physics,Hendrik A. Lorentz,1853-07-18,Arnhem
1903,Physics,Henri Becquerel,1852-12-15,Paris
1927,Literature,Henri Bergson,1859-10-18,Paris
1913,Peace,Henri La Fontaine,1854-04-22,Brussels
1906,Chemistry,Henri Moissan,1852-09-28,Paris
1943,Physiology or Medicine,Henrik Dam,1895-02-21,Copenhagen
1917,Literature,Henrik Pontoppidan,1857-07-24,Fredericia
1901,Peace,Henry Dunant,1828-05-08,Geneva
1973,Peace,Henry Kissinger,5/27/1923,Fürth
1983,Chemistry,Henry Taube,11/30/1915,Neudorf
1990,Physics,Henry W. Kendall,12/9/1926,"Boston, MA"
1905,Literature,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska
1985,Chemistry,Herbert A. Hauptman,2/14/1917,"New York, NY"
1979,Chemistry,Herbert C. Brown,5/22/1912,London
2000,Physics,Herbert Kroemer,8/25/1928,Weimar
1944,Physiology or Medicine,Herbert S. Gasser,1888-07-05,"Platteville, WI"
1978,Economic Sciences,Herbert Simon,6/15/1916,"Milwaukee, WI"
1946,Literature,Hermann Hesse,1877-07-02,Calw
1946,Physiology or Medicine,Hermann J. Muller,1890-12-21,"New York, NY"
1953,Chemistry,Hermann Staudinger,1881-03-23,Worms
2009,Literature,Herta Müller,8/17/1953,"Nitzkydorf, Banat"
2000,Chemistry,Hideki Shirakawa,8/20/1936,Tokyo
1949,Physics,Hideki Yukawa,1/23/1907,Tokyo
2014,Physics,Hiroshi Amano,9/11/1960,Hamamatsu
1921,Peace,Hjalmar Branting,1860-11-23,Stockholm
1998,Physics,Horst L. Störmer,4/6/1949,Frankfurt-on-the-Main
1975,Physiology or Medicine,Howard M. Temin,12/10/1934,"Philadelphia, PA"
1955,Physiology or Medicine,Hugo Theorell,7/6/1903,Linköping
1958,Physics,Igor Y. Tamm,1895-07-08,Vladivostok
1958,Physics,Il´ja M. Frank,10/23/1908,Leningrad
1908,Physiology or Medicine,Ilya Mechnikov,1845-05-15,Kharkov
1977,Chemistry,Ilya Prigogine,1/25/1917,Moscow
2002,Literature,Imre Kertész,11/9/1929,Budapest
1904,Peace,Institute of International Law,,
2007,Peace,Intergovernmental Panel on Climate Change,,
2005,Peace,International Atomic Energy Agency,,
2017,Peace,International Campaign to Abolish Nuclear Weapons (ICAN),,
1997,Peace,International Campaign to Ban Landmines,,
1917,Peace,International Committee of the Red Cross,,
1969,Peace,International Labour Organization,,
1985,Peace,International Physicians for the Prevention of Nuclear War,,
1935,Chemistry,Irène Joliot-Curie,1897-09-12,Paris
1932,Chemistry,Irving Langmuir,1881-01-31,"Brooklyn, NY"
2004,Chemistry,Irwin Rose,7/16/1926,"Brooklyn, NY"
1978,Literature,Isaac Bashevis Singer,7/14/1904,Leoncin
2014,Physics,Isamu Akasaki,1/30/1929,Chiran
1944,Physics,Isidor Isaac Rabi,1898-07-29,Rymanow
1933,Literature,Ivan Bunin,1870-10-22,Voronezh
1904,Physiology or Medicine,Ivan Pavlov,1849-09-14,Ryazan
